timestamp,function_name,was_cold,cold_start_latency_ms,response_latency_ms,total_latency_ms,success
1776762439.4432337,python_fn,True,700.4868999999871,16.219800000044415,716.7865999999776,True
1776762440.2481859,java_fn,True,725.5791999998564,28.748199999881763,754.4800999999097,True
1776762440.3347754,java_fn,False,0.0,35.67679999991924,36.054000000149244,True
1776762440.4023733,python_fn,False,0.0,17.11869999985538,17.194700000118246,True
1776762440.4792614,java_fn,False,0.0,26.530000000093423,26.636000000053173,True
1776762440.556917,java_fn,False,0.0,26.938700000073368,27.077200000121593,True
1776762441.3149009,node_fn,True,680.4723000000195,26.772200000095836,707.3533999998745,True
1776762441.3935268,python_fn,False,0.0,28.082199999971635,28.132299999924726,True
1776762441.476315,node_fn,False,0.0,32.07709999992403,32.207799999923736,True
1776762441.5500567,java_fn,False,0.0,23.163399999930334,23.282200000039666,True
1776762441.6310275,node_fn,False,0.0,30.367800000021816,30.648999999812077,True
1776762441.7076068,node_fn,False,0.0,25.47679999997854,25.72639999993953,True
1776762441.785563,node_fn,False,0.0,27.096400000118592,27.24850000004153,True
1776762441.8626153,node_fn,False,0.0,26.282799999989948,26.396999999860782,True
1776762441.9501271,node_fn,False,0.0,36.58199999995304,37.02989999987949,True
1776762442.0180085,node_fn,False,0.0,17.33309999985977,17.44149999990441,True
1776762442.0958445,node_fn,False,0.0,27.11419999991449,27.215599999863116,True
1776762442.1788456,node_fn,False,0.0,32.27339999989454,32.592499999964275,True
1776762442.2518833,node_fn,False,0.0,22.218699999939417,22.35659999996642,True
1776762442.328319,node_fn,False,0.0,25.892900000144436,26.065900000048714,True
1776762442.3843722,node_fn,False,0.0,5.305400000224836,5.458500000031563,True
1776762442.452609,node_fn,False,0.0,17.74399999999332,17.871700000114288,True
1776762442.5319839,node_fn,False,0.0,28.820799999948576,29.067500000110158,True
1776762442.6099296,node_fn,False,0.0,27.17050000001109,27.37010000009832,True
1776762442.687245,node_fn,False,0.0,26.62119999990864,26.823100000001432,True
1776762442.764906,node_fn,False,0.0,27.092399999901318,27.243499999940468,True
1776762442.8454955,python_fn,False,0.0,29.993799999829207,30.13050000004114,True
1776762442.924056,node_fn,False,0.0,27.888599999869257,28.089599999930215,True
1776762442.9993868,node_fn,False,0.0,24.41410000005817,24.655499999880703,True
1776762443.077991,node_fn,False,0.0,28.033499999992273,28.24460000010731,True
1776762443.1583107,node_fn,False,0.0,29.55589999987751,29.916599999978644,True
1776762443.2312095,node_fn,False,0.0,22.06760000012764,22.205800000165254,True
1776762443.3089812,node_fn,False,0.0,27.138400000012552,27.306700000053752,True
1776762443.384255,node_fn,False,0.0,24.644999999964057,24.749299999939467,True
1776762443.4663856,python_fn,False,0.0,31.381999999894106,31.528300000218223,True
1776762443.5403814,node_fn,False,0.0,23.529499999995096,23.663100000021586,True
1776762443.5990748,node_fn,False,0.0,7.641200000080062,7.951199999979508,True
1776762443.6690385,node_fn,False,0.0,18.997099999978673,19.2555999999513,True
1776762443.7473714,node_fn,False,0.0,27.26780000011786,27.601000000004206,True
1776762443.8211696,node_fn,False,0.0,22.691199999826495,22.863200000074357,True
1776762443.9076366,node_fn,False,0.0,35.31199999997625,35.8122000000094,True
1776762443.977649,node_fn,False,0.0,19.339899999977206,19.47240000004058,True
1776762444.0564137,node_fn,False,0.0,27.716199999986202,28.11029999998027,True
1776762444.1342144,node_fn,False,0.0,27.211000000079366,27.44899999993322,True
1776762444.2107081,node_fn,False,0.0,25.78359999984059,25.950800000146046,True
1776762444.286668,node_fn,False,0.0,25.1279000001432,25.28729999994539,True
1776762444.363094,node_fn,False,0.0,25.62050000005911,25.726000000076965,True
1776762444.4432747,python_fn,False,0.0,29.532000000017433,29.878300000063973,True
1776762444.518143,node_fn,False,0.0,24.28820000000087,24.392300000044997,True
1776762444.5952005,node_fn,False,0.0,26.483500000040294,26.698499999838532,True
1776762444.6738088,node_fn,False,0.0,27.618200000006254,27.937099999917336,True
1776762444.7480092,node_fn,False,0.0,23.34289999998873,23.499000000128945,True
1776762444.8269937,node_fn,False,0.0,28.293499999790583,28.57680000010987,True
1776762444.9038873,node_fn,False,0.0,25.986099999954604,26.08890000010433,True
1776762444.9862607,node_fn,False,0.0,31.520799999952942,31.983099999933984,True
1776762445.0607393,node_fn,False,0.0,23.937100000011924,24.07949999997072,True
1776762445.1362512,node_fn,False,0.0,24.774800000159303,24.994999999989886,True
1776762445.2126853,python_fn,False,0.0,25.702599999931408,25.784499999872423,True
1776762445.2911265,node_fn,False,0.0,27.87569999986772,28.093399999988833,True
1776762445.3670518,node_fn,False,0.0,25.386399999888454,25.5586000000676,True
1776762445.444661,node_fn,False,0.0,27.176300000064657,27.35250000000633,True
1776762445.5253217,python_fn,False,0.0,30.101000000058775,30.2408000000014,True
1776762445.5991716,node_fn,False,0.0,23.24429999998756,23.39879999999539,True
1776762445.6788287,node_fn,False,0.0,29.013999999961015,29.27969999996094,True
1776762445.75617,node_fn,False,0.0,26.606599999922764,26.77890000018124,True
1776762445.83527,node_fn,False,0.0,28.322099999968486,28.727599999911035,True
1776762445.909918,node_fn,False,0.0,24.099900000010166,24.25989999983358,True
1776762445.9903307,node_fn,False,0.0,29.844300000149815,30.178699999851233,True
1776762446.0712252,node_fn,False,0.0,30.101699999931952,30.643099999906553,True
